Product_ID,Date,Offer_ID,Times_Occurred,Offer_Description,Est_Units_Sold
1067995,2021-12-16,106323,10,Additional 10% off on purchase worth Rs. 1000/-,266.0
1067995,2021-12-16,106324,10,Additional 15% off on purchase worth Rs. 1500/-,266.0
1067995,2021-12-17,106323,1,Additional 10% off on purchase worth Rs. 1000/-,476.0
1067995,2021-12-17,106324,1,Additional 15% off on purchase worth Rs. 1500/-,476.0
1067995,2021-12-19,106545,9,Additional 15% off on purchase worth Rs. 1500/-,494.0
1067995,2021-12-20,106545,1,Additional 15% off on purchase worth Rs. 1500/-,601.0
1067995,2021-12-22,106643,10,Additional 5% Off on purchase of 2+ products,605.0
1067995,2021-12-23,106643,3,Additional 5% Off on purchase of 2+ products,166.0
1067995,2022-02-09,109802,9,"Get a FREE Hand Sanitizer with your order. Valid till stocks last. Offer not valid on luxe, wellness, and popup categories.",436.0
1067995,2022-02-10,109802,2,"Get a FREE Hand Sanitizer with your order. Valid till stocks last. Offer not valid on luxe, wellness, and popup categories.",399.0
1067995,2022-02-12,109974,9,Buy 2 Get 10% Off on MRP,198.0
1067995,2022-02-13,109974,3,Buy 2 Get 10% Off on MRP,596.0
1067995,2022-02-15,110160,9,Buy 2 Get 10% Off on MRP,583.0
1067995,2022-02-16,110160,3,Buy 2 Get 10% Off on MRP,1077.0
1067995,2022-02-19,110408,9,Free Autographed Pouch By Janhvi Kapoor On Orders of Rs.5000+. Terms & conditions apply. Offer valid until stock lasts.,572.0
1067995,2022-02-20,110408,12,Free Autographed Pouch By Janhvi Kapoor On Orders of Rs.5000+. Terms & conditions apply. Offer valid until stock lasts.,585.0
1067995,2022-02-21,110386,9,Buy 2 Get 1 Free! *(Add 3 singles to the cart and get 1 free),954.0
1067995,2022-02-21,110408,3,Free Autographed Pouch By Janhvi Kapoor On Orders of Rs.5000+. Terms & conditions apply. Offer valid until stock lasts.,954.0
1067996,2021-12-16,106323,9,Additional 10% off on purchase worth Rs. 1000/-,140.0
1067996,2021-12-16,106324,9,Additional 15% off on purchase worth Rs. 1500/-,140.0
1067996,2021-12-17,106323,2,Additional 10% off on purchase worth Rs. 1000/-,0.0
1067996,2021-12-17,106324,2,Additional 15% off on purchase worth Rs. 1500/-,0.0
1067996,2021-12-19,106545,10,Additional 15% off on purchase worth Rs. 1500/-,121.0
1067996,2021-12-20,106545,2,Additional 15% off on purchase worth Rs. 1500/-,175.0
1067996,2021-12-22,106643,10,Additional 5% Off on purchase of 2+ products,477.0
1067996,2021-12-23,106643,1,Additional 5% Off on purchase of 2+ products,19.0
1067996,2022-02-09,109802,9,"Get a FREE Hand Sanitizer with your order. Valid till stocks last. Offer not valid on luxe, wellness, and popup categories.",125.0
1067996,2022-02-10,109802,2,"Get a FREE Hand Sanitizer with your order. Valid till stocks last. Offer not valid on luxe, wellness, and popup categories.",78.0
1067996,2022-02-12,109974,9,Buy 2 Get 10% Off on MRP,0.0
1067996,2022-02-13,109974,3,Buy 2 Get 10% Off on MRP,348.0
1067996,2022-02-15,110160,9,Buy 2 Get 10% Off on MRP,490.0
1067996,2022-02-16,110160,3,Buy 2 Get 10% Off on MRP,350.0
1067996,2022-02-19,110408,9,Free Autographed Pouch By Janhvi Kapoor On Orders of Rs.5000+. Terms & conditions apply. Offer valid until stock lasts.,202.0
1067996,2022-02-20,110408,12,Free Autographed Pouch By Janhvi Kapoor On Orders of Rs.5000+. Terms & conditions apply. Offer valid until stock lasts.,245.0
1067996,2022-02-21,110386,9,Buy 2 Get 1 Free! *(Add 3 singles to the cart and get 1 free),319.0
1067996,2022-02-21,110408,3,Free Autographed Pouch By Janhvi Kapoor On Orders of Rs.5000+. Terms & conditions apply. Offer valid until stock lasts.,319.0
1067997,2021-12-16,106323,10,Additional 10% off on purchase worth Rs. 1000/-,69.0
1067997,2021-12-16,106324,10,Additional 15% off on purchase worth Rs. 1500/-,69.0
1067997,2021-12-17,106323,2,Additional 10% off on purchase worth Rs. 1000/-,77.0
1067997,2021-12-17,106324,2,Additional 15% off on purchase worth Rs. 1500/-,77.0
1067997,2021-12-19,106545,8,Additional 15% off on purchase worth Rs. 1500/-,103.0
1067997,2021-12-20,106545,1,Additional 15% off on purchase worth Rs. 1500/-,149.0
1067997,2021-12-22,106643,9,Additional 5% Off on purchase of 2+ products,18.0
1067997,2021-12-23,106643,1,Additional 5% Off on purchase of 2+ products,132.0
1067997,2022-02-09,109802,9,"Get a FREE Hand Sanitizer with your order. Valid till stocks last. Offer not valid on luxe, wellness, and popup categories.",90.0
1067997,2022-02-10,109802,2,"Get a FREE Hand Sanitizer with your order. Valid till stocks last. Offer not valid on luxe, wellness, and popup categories.",0.0
1067997,2022-02-12,109974,9,Buy 2 Get 10% Off on MRP,136.0
1067997,2022-02-13,109974,2,Buy 2 Get 10% Off on MRP,151.0
1067997,2022-02-15,110160,9,Buy 2 Get 10% Off on MRP,211.0
1067997,2022-02-16,110160,2,Buy 2 Get 10% Off on MRP,79.0
1067997,2022-02-19,110408,9,Free Autographed Pouch By Janhvi Kapoor On Orders of Rs.5000+. Terms & conditions apply. Offer valid until stock lasts.,135.0
1067997,2022-02-20,110408,12,Free Autographed Pouch By Janhvi Kapoor On Orders of Rs.5000+. Terms & conditions apply. Offer valid until stock lasts.,121.0
1067997,2022-02-21,110386,9,Buy 2 Get 1 Free! *(Add 3 singles to the cart and get 1 free),207.0
1067997,2022-02-21,110408,2,Free Autographed Pouch By Janhvi Kapoor On Orders of Rs.5000+. Terms & conditions apply. Offer valid until stock lasts.,207.0
1067998,2021-12-16,106323,10,Additional 10% off on purchase worth Rs. 1000/-,62.0
1067998,2021-12-16,106324,10,Additional 15% off on purchase worth Rs. 1500/-,62.0
1067998,2021-12-17,106323,1,Additional 10% off on purchase worth Rs. 1000/-,0.0
1067998,2021-12-17,106324,1,Additional 15% off on purchase worth Rs. 1500/-,0.0
1067998,2021-12-19,106545,10,Additional 15% off on purchase worth Rs. 1500/-,189.0
1067998,2021-12-20,106545,1,Additional 15% off on purchase worth Rs. 1500/-,238.0
1067998,2021-12-22,106643,8,Additional 5% Off on purchase of 2+ products,216.0
1067998,2021-12-23,106643,2,Additional 5% Off on purchase of 2+ products,233.0
1067998,2022-02-09,109802,9,"Get a FREE Hand Sanitizer with your order. Valid till stocks last. Offer not valid on luxe, wellness, and popup categories.",228.0
1067998,2022-02-10,109802,2,"Get a FREE Hand Sanitizer with your order. Valid till stocks last. Offer not valid on luxe, wellness, and popup categories.",210.0
1067998,2022-02-12,109974,9,Buy 2 Get 10% Off on MRP,381.0
1067998,2022-02-13,109974,2,Buy 2 Get 10% Off on MRP,364.0
1067998,2022-02-15,110160,9,Buy 2 Get 10% Off on MRP,262.0
1067998,2022-02-16,110160,2,Buy 2 Get 10% Off on MRP,291.0
1067998,2022-02-19,110408,9,Free Autographed Pouch By Janhvi Kapoor On Orders of Rs.5000+. Terms & conditions apply. Offer valid until stock lasts.,210.0
1067998,2022-02-20,110408,12,Free Autographed Pouch By Janhvi Kapoor On Orders of Rs.5000+. Terms & conditions apply. Offer valid until stock lasts.,218.0
1067998,2022-02-21,110386,9,Buy 2 Get 1 Free! *(Add 3 singles to the cart and get 1 free),289.0
1067998,2022-02-21,110408,3,Free Autographed Pouch By Janhvi Kapoor On Orders of Rs.5000+. Terms & conditions apply. Offer valid until stock lasts.,289.0
1067999,2021-12-16,106323,9,Additional 10% off on purchase worth Rs. 1000/-,169.0
1067999,2021-12-16,106324,9,Additional 15% off on purchase worth Rs. 1500/-,169.0
1067999,2021-12-17,106323,2,Additional 10% off on purchase worth Rs. 1000/-,122.0
1067999,2021-12-17,106324,2,Additional 15% off on purchase worth Rs. 1500/-,122.0
1067999,2021-12-19,106545,10,Additional 15% off on purchase worth Rs. 1500/-,0.0
1067999,2021-12-20,106545,2,Additional 15% off on purchase worth Rs. 1500/-,385.0
1067999,2021-12-22,106643,9,Additional 5% Off on purchase of 2+ products,297.0
1067999,2021-12-23,106643,2,Additional 5% Off on purchase of 2+ products,113.0
1067999,2022-02-09,109802,9,"Get a FREE Hand Sanitizer with your order. Valid till stocks last. Offer not valid on luxe, wellness, and popup categories.",287.0
1067999,2022-02-10,109802,2,"Get a FREE Hand Sanitizer with your order. Valid till stocks last. Offer not valid on luxe, wellness, and popup categories.",153.0
1067999,2022-02-12,109974,9,Buy 2 Get 10% Off on MRP,0.0
1067999,2022-02-13,109974,3,Buy 2 Get 10% Off on MRP,478.0
1067999,2022-02-15,110160,9,Buy 2 Get 10% Off on MRP,321.0
1067999,2022-02-16,110160,2,Buy 2 Get 10% Off on MRP,366.0
1067999,2022-02-19,110408,9,Free Autographed Pouch By Janhvi Kapoor On Orders of Rs.5000+. Terms & conditions apply. Offer valid until stock lasts.,238.0
1067999,2022-02-20,110408,12,Free Autographed Pouch By Janhvi Kapoor On Orders of Rs.5000+. Terms & conditions apply. Offer valid until stock lasts.,403.0
1067999,2022-02-21,110386,9,Buy 2 Get 1 Free! *(Add 3 singles to the cart and get 1 free),99.0
1067999,2022-02-21,110408,2,Free Autographed Pouch By Janhvi Kapoor On Orders of Rs.5000+. Terms & conditions apply. Offer valid until stock lasts.,99.0
1068000,2021-12-16,106323,10,Additional 10% off on purchase worth Rs. 1000/-,113.0
1068000,2021-12-16,106324,10,Additional 15% off on purchase worth Rs. 1500/-,113.0
1068000,2021-12-17,106323,2,Additional 10% off on purchase worth Rs. 1000/-,103.0
1068000,2021-12-17,106324,2,Additional 15% off on purchase worth Rs. 1500/-,103.0
1068000,2021-12-19,106545,8,Additional 15% off on purchase worth Rs. 1500/-,94.0
1068000,2021-12-20,106545,1,Additional 15% off on purchase worth Rs. 1500/-,82.0
1068000,2021-12-22,106643,10,Additional 5% Off on purchase of 2+ products,62.0
1068000,2021-12-23,106643,2,Additional 5% Off on purchase of 2+ products,91.0
1068000,2022-02-09,109802,9,"Get a FREE Hand Sanitizer with your order. Valid till stocks last. Offer not valid on luxe, wellness, and popup categories.",89.0
1068000,2022-02-10,109802,2,"Get a FREE Hand Sanitizer with your order. Valid till stocks last. Offer not valid on luxe, wellness, and popup categories.",42.0
1068000,2022-02-12,109974,9,Buy 2 Get 10% Off on MRP,114.0
1068000,2022-02-13,109974,2,Buy 2 Get 10% Off on MRP,130.0
1068000,2022-02-15,110160,9,Buy 2 Get 10% Off on MRP,182.0
1068000,2022-02-16,110160,3,Buy 2 Get 10% Off on MRP,68.0
1068000,2022-02-19,110408,9,Free Autographed Pouch By Janhvi Kapoor On Orders of Rs.5000+. Terms & conditions apply. Offer valid until stock lasts.,69.0
1068000,2022-02-20,110408,12,Free Autographed Pouch By Janhvi Kapoor On Orders of Rs.5000+. Terms & conditions apply. Offer valid until stock lasts.,95.0
1068000,2022-02-21,110386,9,Buy 2 Get 1 Free! *(Add 3 singles to the cart and get 1 free),124.0
1068000,2022-02-21,110408,2,Free Autographed Pouch By Janhvi Kapoor On Orders of Rs.5000+. Terms & conditions apply. Offer valid until stock lasts.,124.0
1068001,2021-12-16,106323,10,Additional 10% off on purchase worth Rs. 1000/-,143.0
1068001,2021-12-16,106324,10,Additional 15% off on purchase worth Rs. 1500/-,143.0
1068001,2021-12-17,106323,1,Additional 10% off on purchase worth Rs. 1000/-,0.0
