category,id,date,rank,ratings
Aftershave,ASCDBNYZ4JMSH42B,2021-10-01,61.0,462.0
Aftershave,ASCDBNYZ4JMSH42B,2021-10-02,69.0,462.0
Aftershave,ASCDBNYZ4JMSH42B,2021-10-05,89.0,463.0
Aftershave,ASCE3DZK2TD7G4DN,2021-10-01,309.0,3.0
Aftershave,ASCE3DZK2TD7G4DN,2021-10-02,319.0,3.0
Aftershave,ASCE3DZK2TD7G4DN,2021-10-03,311.0,3.0
Aftershave,ASCE3DZK2TD7G4DN,2021-10-05,290.0,3.0
Aftershave,ASCE8HVNQNHCHAKZ,2021-10-02,185.0,16.0
Aftershave,ASCE8HVNQNHCHAKZ,2021-10-03,177.0,16.0
Aftershave,ASCE8HVNQNHCHAKZ,2021-10-05,190.0,16.0
Aftershave,ASCE9J8ABACPEZMD,2021-10-01,75.0,80.0
Aftershave,ASCE9J8ABACPEZMD,2021-10-02,83.0,80.0
Aftershave,ASCE9J8ABACPEZMD,2021-10-03,70.0,80.0
Aftershave,ASCE9J8ABACPEZMD,2021-10-04,77.0,80.0
Aftershave,ASCEE4RHM8G9RGGZ,2021-10-01,46.0,28.0
Aftershave,ASCEE4RHM8G9RGGZ,2021-10-02,59.0,28.0
Aftershave,ASCEE4RHM8G9RGGZ,2021-10-03,58.0,28.0
Aftershave,ASCEE4RHM8G9RGGZ,2021-10-04,66.0,28.0
Aftershave,ASCEE4RHM8G9RGGZ,2021-10-05,79.0,28.0
Aftershave,ASCEPJ44DH2HV8Y8,2021-10-01,27.0,1435.0
Aftershave,ASCEPJ44DH2HV8Y8,2021-10-02,29.0,1435.0
Aftershave,ASCEPJ44DH2HV8Y8,2021-10-03,24.0,1435.0
Aftershave,ASCEPJ44DH2HV8Y8,2021-10-04,21.0,1438.0
Aftershave,ASCEPJ44DH2HV8Y8,2021-10-05,21.0,1438.0
Aftershave,ASCF3RVJNYVZGMH2,2021-10-01,181.0,5.0
Aftershave,ASCF3RVJNYVZGMH2,2021-10-02,151.0,5.0
Aftershave,ASCF3RVJNYVZGMH2,2021-10-03,149.0,5.0
Aftershave,ASCF3RVJNYVZGMH2,2021-10-04,166.0,5.0
Aftershave,ASCF3RVJNYVZGMH2,2021-10-05,186.0,5.0
Aftershave,ASCF3SY8GYFTY6DE,2021-10-02,334.0,12.0
Aftershave,ASCF3SY8GYFTY6DE,2021-10-03,327.0,12.0
Aftershave,ASCF3SY8GYFTY6DE,2021-10-05,251.0,12.0
Aftershave,ASCF8TUXFZXZYHHM,2021-10-01,196.0,98.0
Aftershave,ASCF8TUXFZXZYHHM,2021-10-02,36.0,98.0
Aftershave,ASCF8TUXFZXZYHHM,2021-10-03,157.0,98.0
Aftershave,ASCF8TUXFZXZYHHM,2021-10-05,223.0,98.0
